"","Field_Name","frozen","storm","unique_storm_number","Q_start","Q_end","runoff_volume","peak_discharge","rain_in","duration","Ievent","I5","I10","I30","I60","ARFdays1","ARFdays2","ARFdays7","ARFdays14","BasinArea_ac","area_ft2","runoff_in","first_P_start","Q_response_time_hr"
"92","AO3","Frozen","Storm","2023-7",2023-04-13 15:15:00,2023-04-14 00:15:00,3398,0.1986,0,NA,NA,NA,NA,NA,NA,0,0,0,1.96,22.4,975744,0.0417896497441952,NA,NA
"93","AO3","Non-Frozen","Storm","2023-8",2023-04-14 16:30:00,2023-04-15 01:30:00,404,0.02,0,NA,NA,NA,NA,NA,NA,0,0,0,1.21,22.4,975744,0.0049685163321527,NA,NA
"94","AO3","Non-Frozen","Storm","2023-9",2023-04-15 16:30:00,2023-04-16 00:45:00,242.6,0.0143,0.24,1.4,0.1714,1.8,1.2,0.4,0.2,0,0,0,0.48,22.4,975744,0.00298356946084219,NA,NA
"95","AO3","Non-Frozen","Storm","2023-10",2023-04-16 08:09:00,2023-04-16 13:00:00,167.4,0.0298,0.49,3.783,0.1295,0.84,0.72,0.5,0.34,0.25,0.25,0.25,0.73,22.4,975744,0.00205873671782763,2023-04-16 06:26:00,1.71666666666667
"96","AO3","Non-Frozen","Storm","2023-11",2023-07-05 08:56:00,2023-07-05 10:53:00,3369,2.175,0.72,2.017,0.357,3.6,2.58,1.04,0.58,0,0,0,0.75,22.4,975744,0.0414329988193625,2023-07-05 08:38:00,0.3
"97","AO3","Non-Frozen","Storm","2023-12",2023-07-11 02:27:00,2023-07-11 03:30:00,985.1,0.8924,0.44,1.217,0.3616,1.8,1.32,0.76,0.43,0.01,0.01,0.78,0.78,22.4,975744,0.0121150629673357,2023-07-11 02:09:00,0.3
"98","AO3","Non-Frozen","Storm","2023-13",2023-07-24 19:46:00,2023-07-24 23:15:00,15930,3.916,0.02,2.1,0.009524,0.12,0.06,0.02,0.01,0,0.7,1.25,2.1,22.4,975744,0.195912042502952,NA,NA
"99","AO3","Non-Frozen","Storm","2023-14",2023-07-28 00:55:00,2023-07-28 05:25:00,23310,8.058,0.7,4.067,0.1721,2.28,1.62,0.88,0.49,0,0.06,0.97,1.4,22.4,975744,0.286673553719008,2023-07-28 00:14:00,0.683333333333333
"100","AO3","Non-Frozen","Storm","2023-15",2023-07-29 00:45:00,2023-07-29 05:15:00,16930,4.646,1.42,1.45,0.9793,2.64,2.46,1.38,1.34,0.7,0.7,1.61,2.1,22.4,975744,0.208210350255805,2023-07-28 22:10:00,2.58333333333333
"101","AO3","Non-Frozen","Storm","2023-16",2023-08-17 05:25:00,2023-08-17 08:45:00,15410,4.261,0.88,1.683,0.5228,1.56,1.2,0.84,0.83,0,0,0.5,0.79,22.4,975744,0.189516922471468,2023-08-17 04:51:00,0.566666666666667
