"","Field_Name","frozen","storm","unique_storm_number","Q_start","Q_end","runoff_volume","peak_discharge","rain_in","duration","Ievent","I5","I10","I30","I60","ARFdays1","ARFdays2","ARFdays7","ARFdays14","BasinArea_ac","area_ft2","runoff_in"
"85","AO3","Non-Frozen","Storm","2022-25","8/13/2022 8:16","8/13/2022 16:45",5875,2.226,0.99,8.7,0.1138,2.28,1.5,0.62,0.36,0,0,1.53,2.17,22.4,975744,0.0722525580480126
"86","AO3","Non-Frozen","Storm","2022-26","8/28/2022 19:43","8/28/2022 21:00",747.3,0.4855,0.76,3.767,0.2018,1.44,1.08,0.86,0.56,0.28,0.36,0.49,0.75,22.4,975744,0.0091905253837072
"87","AO3","Non-Frozen","Storm","2022-27","8/29/2022 9:35","8/29/2022 11:00",819.3,0.5814,0.24,0.1667,1.44,2.28,1.38,0.48,0.24,0.79,1.12,1.25,1.51,22.4,975744,0.0100760035419126
"88","AO3","Non-Frozen","Storm","2023-1","11/5/2022 14:36","11/5/2022 20:11",1379,0.2635,1.6,19.62,0.08156,0.72,0.66,0.4,0.32,0.08,0.08,0.08,0.68,22.4,975744,0.0169593663911846
"89","AO3","Non-Frozen","Storm","2023-2","11/9/2022 11:48","11/9/2022 12:45",170.1,0.1119,0.35,5.1,0.06863,1.2,0.66,0.36,0.21,0,0,1.77,1.77,22.4,975744,0.00209194214876033
"90","AO3","Non-Frozen","Storm","2023-3","11/10/2022 22:48","11/11/2022 1:30",3722,0.9588,0.78,1.65,0.4727,1.44,1.14,0.78,0.57,0,0.35,2.12,2.12,22.4,975744,0.0457743014561196
"91","AO3","Frozen","Storm","2023-4","2/15/2023 10:24","2/17/2023 3:27",104600,2.779,0.77,16.77,0.04592,0.36,0.36,0.2,0.17,0,0,0,0,22.4,975744,1.28640299094845
"92","AO3","Frozen","Storm","2023-5","3/31/2023 17:45","4/1/2023 10:46",3764,0.0947,1.48,20.43,0.07243,0.48,0.48,0.34,0.27,0,0,0,0,22.4,975744,0.0462908303817395
"93","AO3","Frozen","Storm","2023-6","4/3/2023 19:34","4/13/2023 5:15",371600,6.117,0.48,19.28,0.02489,0.84,0.6,0.36,0.27,0,0,1.48,1.48,22.4,975744,4.57005116096025
"94","AO3","Frozen","Storm","2023-7","4/13/2023 15:15","4/14/2023 0:15",3398,0.1986,0,NA,NA,NA,NA,NA,NA,0,0,0,1.96,22.4,975744,0.0417896497441952
"95","AO3","Non-Frozen","Storm","2023-8","4/14/2023 16:30","4/15/2023 1:30",404,0.02,0,NA,NA,NA,NA,NA,NA,0,0,0,1.21,22.4,975744,0.0049685163321527
"96","AO3","Non-Frozen","Storm","2023-9","4/15/2023 16:30","4/16/2023 0:45",242.6,0.0143,0.24,1.4,0.1714,1.8,1.2,0.4,0.2,0,0,0,0.48,22.4,975744,0.00298356946084219
"97","AO3","Non-Frozen","Storm","2023-10","4/16/2023 8:09","4/16/2023 13:00",167.4,0.0298,0.49,3.783,0.1295,0.84,0.72,0.5,0.34,0.25,0.25,0.25,0.73,22.4,975744,0.00205873671782763
"98","AO3","Non-Frozen","Storm","2023-11","7/5/2023 8:56","7/5/2023 10:53",3369,2.175,0.72,2.017,0.357,3.6,2.58,1.04,0.58,0,0,0,0.75,22.4,975744,0.0414329988193625
"99","AO3","Non-Frozen","Storm","2023-12","7/11/2023 2:27","7/11/2023 3:30",985.1,0.8924,0.44,1.217,0.3616,1.8,1.32,0.76,0.43,0.01,0.01,0.78,0.78,22.4,975744,0.0121150629673357
"100","AO3","Non-Frozen","Storm","2023-13","7/24/2023 19:46","7/24/2023 23:15",15930,3.916,0.02,2.1,0.009524,0.12,0.06,0.02,0.01,0,0.7,1.25,2.1,22.4,975744,0.195912042502952
"101","AO3","Non-Frozen","Storm","2023-14","7/28/2023 0:55","7/28/2023 5:25",23310,8.058,0.7,4.067,0.1721,2.28,1.62,0.88,0.49,0,0.06,0.97,1.4,22.4,975744,0.286673553719008
"102","AO3","Non-Frozen","Storm","2023-15","7/29/2023 0:45","7/29/2023 5:15",16930,4.646,1.42,1.45,0.9793,2.64,2.46,1.38,1.34,0.7,0.7,1.61,2.1,22.4,975744,0.208210350255805
"103","AO3","Non-Frozen","Storm","2023-16","8/17/2023 5:25","8/17/2023 8:45",15410,4.261,0.88,1.683,0.5228,1.56,1.2,0.84,0.83,0,0,0.5,0.79,22.4,975744,0.189516922471468
"104","AO3","Non-Frozen","Storm","2023-17","9/6/2023 18:57","9/6/2023 20:09",597.9,0.3564,0.5,3.85,0.1299,0.72,0.6,0.52,0.33,0.46,0.46,0.47,0.54,22.4,975744,0.00735315820543093
"105","AO3","Non-Frozen","Storm","2023-18","9/10/2023 10:47","9/10/2023 11:55",479.3,0.2195,0.72,5.533,0.1301,0.72,0.6,0.48,0.36,0,0,1.03,1.11,22.4,975744,0.00589457890594254
"106","AR1","Non-Frozen","Storm","2017-1","10/26/2016 12:23","10/26/2016 14:45",224.7,0.04591,1.4,8.95,0.1564,0.6,0.54,0.46,0.41,0,0,0,0,18.5,805860,0.00334599061871789
"107","AR1","Non-Frozen","Storm","2017-2","11/2/2016 13:13","11/2/2016 14:45",290.6,0.1655,1.01,5.783,0.1746,2.64,2.1,1.02,0.6,0,0,1.15,1.61,18.5,805860,0.00432730250912069
"108","AR1","Frozen","Storm","2017-3","1/16/2017 17:45","1/17/2017 22:30",3368,0.3365,0.21,14.67,0.01432,0.24,0.24,0.18,0.14,0.01,0.01,0.47,0.47,18.5,805860,0.0501526319708138
"109","AR1","Frozen","Storm","2017-4","1/19/2017 23:30","1/20/2017 15:15",6440,0.8096,0.25,11.98,0.02086,0.24,0.18,0.12,0.09,0,0,0.22,0.68,18.5,805860,0.095897550443005
"110","AR1","Non-Frozen","Storm","2017-5","5/1/2017 3:21","5/1/2017 6:45",955.1,0.3756,0.85,6.517,0.1304,1.32,0.9,0.58,0.52,0.29,0.49,1.57,1.81,18.5,805860,0.0142223214950488
"111","AR1","Non-Frozen","Storm","2017-6","5/17/2017 23:33","5/18/2017 1:15",3398,1.586,0.83,0.35,2.371,5.16,4.38,1.66,0.83,0,0.6,0.73,1.54,18.5,805860,0.0505993596902688
"112","AR1","Non-Frozen","Storm","2017-7","5/18/2017 3:20","5/18/2017 4:15",75.1,0.0465,0.25,0.5167,0.4839,1.08,0.78,0.48,0.25,0.83,0.98,1.43,2.37,18.5,805860,0.00111830839103566
