"Season","Rep","Model","n","Use_Hydrologic_Group","Use_Tile","AIC","AUC","RMSE","R2m","R2c","REvar","Singular"
"Pre-growing season",26,"Agricultural",21,FALSE,FALSE,78.0729849169454,,0.229035082086545,0.472286975789925,0.963610844193251,1.91279024841862,FALSE
"Pre-growing season",26,"Site",21,FALSE,FALSE,71.8468488272671,,0.258497588196638,0.565333534166927,0.953743546037563,1.43645543908692,FALSE
"Pre-growing season",26,"Full",21,FALSE,FALSE,76.0089695677108,,0.310444661722527,0.601502006156815,0.928741375503224,1.02821112360954,FALSE
"Pre-growing season",27,"Storm",21,FALSE,FALSE,85.0676828524453,,0.626679237818477,0.306247411281783,0.811901464121276,1.95156634109466,FALSE
"Pre-growing season",27,"Agricultural",21,FALSE,FALSE,81.5385208449203,,0.595081107597614,0.624220270390097,0.85053116637122,0.89427263009417,FALSE
"Pre-growing season",27,"Site",21,FALSE,FALSE,87.0623894387907,,0.627742581068216,0.305283498757687,0.810834244242099,1.94489410547332,FALSE
"Pre-growing season",27,"Full",21,FALSE,FALSE,83.2137221869543,,0.535605818605992,0.61280392837358,0.874745331608765,1.06252253486504,FALSE
"Pre-growing season",28,"Storm",21,FALSE,FALSE,82.9061573202256,,1.30905212649819,0.0716272546083347,,0,TRUE
"Pre-growing season",28,"Agricultural",21,FALSE,FALSE,84.1217752118513,,1.16811279175836,0.267698165552201,,0,TRUE
"Pre-growing season",28,"Site",21,FALSE,FALSE,83.1074496464419,,1.25417368144221,0.151069398125127,,0,TRUE
"Pre-growing season",28,"Full",21,FALSE,FALSE,85.5571390577039,,1.15251409998484,0.287817329592498,,0,TRUE
"Pre-growing season",29,"Storm",21,FALSE,FALSE,88.9067881228308,,1.51009938979932,0.282069081466672,,0,TRUE
"Pre-growing season",29,"Agricultural",21,FALSE,FALSE,80.7364273580849,,1.0776534304439,0.640709206216603,,0,TRUE
"Pre-growing season",29,"Site",21,FALSE,FALSE,90.7871136136914,,1.50580264751681,0.286294365744687,,0,TRUE
"Pre-growing season",29,"Full",21,FALSE,FALSE,78.8523735926041,,0.982464033626625,0.702281544250283,,0,TRUE
"Pre-growing season",30,"Storm",21,FALSE,TRUE,67.440307707892,,0.488612911813132,0.310279647751727,0.723192617265062,0.603070215346344,FALSE
"Pre-growing season",30,"Agricultural",21,FALSE,TRUE,65.0951733252921,,0.305129522874147,0.492076106321443,0.883764685976896,0.630114246898795,FALSE
"Pre-growing season",30,"Site",21,FALSE,TRUE,70.4795008553279,,0.536507604845933,0.371167446837788,0.688265907940482,0.45494162096642,FALSE
"Pre-growing season",30,"Full",21,FALSE,TRUE,68.8277803893298,,0.331970862253558,0.506609025144092,0.862380313462558,0.543362674688817,FALSE
"Pre-growing season",31,"Storm",21,FALSE,TRUE,98.1443211137972,,1.68299409446983,0.194042053092174,0.284113902323838,0.397517099670384,FALSE
"Pre-growing season",31,"Agricultural",21,FALSE,TRUE,98.6287140897345,,1.46600849958072,0.331274325447033,0.442069986005085,0.501268804826166,FALSE
"Pre-growing season",31,"Site",21,FALSE,TRUE,93.5877576970839,,1.53478304304151,0.480681776046076,,0,TRUE
"Pre-growing season",31,"Full",21,FALSE,TRUE,89.9255200930716,,1.27884177158585,0.642283191459346,,0,TRUE
"Pre-growing season",32,"Storm",21,TRUE,TRUE,87.1342900497621,,1.44769572128401,0.116345667543969,,9.13679238755981e-19,TRUE
"Pre-growing season",32,"Agricultural",21,TRUE,TRUE,84.9313470418023,,1.19084717760968,0.410506445386848,,0,TRUE
"Pre-growing season",32,"Site",21,TRUE,TRUE,88.4000485066082,,1.23322667842004,0.366449675988607,,0,TRUE
"Pre-growing season",32,"Full",21,TRUE,TRUE,85.7968980902669,,1.00480866028735,0.583838241132817,,0,TRUE
"Pre-growing season",33,"Storm",21,FALSE,TRUE,81.657652828569,,1.27071153877632,0.359744163728605,,0,TRUE
"Pre-growing season",33,"Agricultural",21,FALSE,TRUE,87.1998102676636,,1.25693472237873,0.373984167877195,,0,TRUE
"Pre-growing season",33,"Site",21,FALSE,TRUE,83.738274090545,,1.21394758538608,0.417297625029293,,0,TRUE
"Pre-growing season",33,"Full",21,FALSE,TRUE,88.5980560062133,,1.18143460495595,0.448940994808367,,0,TRUE
"Pre-growing season",34,"Storm",21,TRUE,TRUE,98.1720773356793,,1.88283306845368,0.0843648782882667,,0,TRUE
"Pre-growing season",34,"Agricultural",21,TRUE,TRUE,97.4949437443853,,0.351112756400057,0.267434055573968,0.953884987529626,4.99972956645401,FALSE
"Pre-growing season",34,"Site",21,TRUE,TRUE,100.675371654037,,1.65186284663521,0.302584093132854,,0,TRUE
"Pre-growing season",34,"Full",21,TRUE,TRUE,102.98367080731,,1.51286621892059,0.418284862006545,,1.59001427538123e-16,TRUE
"Pre-growing season",35,"Storm",21,FALSE,FALSE,89.5834824647257,,1.53462682351329,0.153116219892506,,4.97425632154988e-16,TRUE
"Pre-growing season",35,"Agricultural",21,FALSE,FALSE,88.5823177589584,,1.25808067986449,0.401837373854027,0.420971883008757,0.0539960046057543,FALSE
"Pre-growing season",35,"Site",21,FALSE,FALSE,91.2113411946815,,1.52108931583082,0.168610029784746,,0,TRUE
"Pre-growing season",35,"Full",21,FALSE,FALSE,90.412371540205,,1.29375197353347,0.405389275290638,,1.97536843387214e-15,TRUE
"Pre-growing season",36,"Storm",21,FALSE,FALSE,99.0402759397224,,1.92215891488,0.0858717435041309,,0,TRUE
"Pre-growing season",36,"Agricultural",21,FALSE,FALSE,99.3136578551663,,1.6771584113611,0.311562289671642,,0,TRUE
"Pre-growing season",36,"Site",21,FALSE,FALSE,100.959401374858,,1.91846119601925,0.0895453892338001,,0,TRUE
"Pre-growing season",36,"Full",21,FALSE,FALSE,101.055547173786,,1.66688305297497,0.320257903347091,,0,TRUE
"Pre-growing season",37,"Storm",21,FALSE,FALSE,83.0720351212505,,1.31423241346635,0.0976596193238059,,1.72603107230992e-16,TRUE
